Datetime,Tweet Id,Text,Username
2022-10-19 20:54:59+00:00,1582837739967639552,"Dużo łatwiej byłoby wprowadzić #tempo30 w całym mieście + wyjątki. Tu są tysiące ulic nadających się do ucywilizowania, więc 409 stref to będą tysiące znaków i ogromny koszt. Chyba że  #Warszawa zastosuje rozwiązania z Gdańska sprzed 10 lat i  czyli info tylko na wlotach do stref https://t.co/GQdT5xmykN",AgataKowalskaTT
2022-10-19 20:53:37+00:00,1582837396290555904,"Kiedy wydawało się, że wszystko w Lechu wraca do normy wyciągnięto z szafy Artura Rudkę. 
No i ucieszą się rodziny oraz znajomi kibiców Lecha. Można już planować majówki poza Warszawą. 
https://t.co/ih3XbnEfiF",Jarmo_87
2022-10-19 20:51:40+00:00,1582836904713588736,"@pawelmich @ljporebski @ZDM_Warszawa @MiastoJestNasze Ponoć jest to za drogie. Za dużo projektowania, analiz, uzgodnień…",marta_ewa_sz
2022-10-19 20:50:26+00:00,1582836595085828096,Wydarzenie w #MuzeumWarszawy Fotografia i Warszawa w latach 90 tych https://t.co/6xtKCoPBCd,Anna_MichalakP
2022-10-19 20:49:05+00:00,1582836256890724353,"@viicziii Poznań, Warszawa i może Leicester ❤️",tomeksager
2022-10-19 20:46:44+00:00,1582835665284497408,"Gdyby ktoś jeszcze nie wiedział, Warszawa też widzi się w sobotę na United! 👀 Zapraszamy do Irish Pubu na ul. Miodowej 3.

Wydarzenie na fb: https://t.co/Mksme6v420 https://t.co/c64QvY9ewr",TrueBluesPL
2022-10-19 20:46:35+00:00,1582835623857393664,@AnnaZalewskaMEP @ecrgroup @pisorgpl @FMPiS_Oficjalny @WroclawFMPiS @PiSForumMlodych @FM_PiS_Warszawa @RadioOpole @prwpl @RadioRodzina @FMPiSOpole TY KURWO Zaleska ….. rzygam przez odbyt kiedy widzę twój tempy ryj na TT,LAgreendoor
2022-10-19 20:46:32+00:00,1582835613417340929,"@PORP_Warszawa  @donaldtusk
To coś dla was i waszego złodzieja: TERA NA KOSZYKI!
https://t.co/71KPJXQ2pJ",TeoJade2
2022-10-19 20:46:11+00:00,1582835527069274112,"@ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Opis nie pasuje do obrazka, bo chodnik pusty. Oczywiscie, wiem, że nie wolno rowerem po chodniku.",jednapani1
2022-10-19 20:46:08+00:00,1582835513421008896,"@xerionaut @trzaskowski_ @warszawa Ten Prezydent co najwyżej puszcza, ale przeterminowanego bąkala.",POlgierd
2022-10-19 20:45:46+00:00,1582835420463009792,"@JStrozyk69 No jprd to już jest całkiem jawne szpiegostwo a teraz w kwestii zestrzeliwania dronów np. nad Kijowem, Warszawą to przecież horror. Ruscy mogą wiedzieć już wszystko o naszych antydronowych możliwościach.",TLechocinski
2022-10-19 20:44:35+00:00,1582835122495029248,@trzaskowski_ @warszawa Smutna wiadomość to jest wałek Tusków na 600 tyś.€. A w zasadzie to może dobra wiadomość 😂😁🤣,John30595193
2022-10-19 20:43:40+00:00,1582834891741241345,@AnnaZalewskaMEP @ecrgroup @pisorgpl @FMPiS_Oficjalny @WroclawFMPiS @PiSForumMlodych @FM_PiS_Warszawa @RadioOpole @prwpl @RadioRodzina @FMPiSOpole Czy wygranej/-emu przysługuje służbowy plecak?,gloniasz
2022-10-19 20:43:15+00:00,1582834786703319040,"W parku Moczydło na #Wola nie ma już groźnej bakterii – to dobra wiadomość https://t.co/z7qL8MC8B6. dla wędkarzy i właścicieli czworonogów🦮

Więcej👉https://t.co/52Q9vc2UdI #Warszawa #park #staw https://t.co/qvrtivT82D",rdcpolskieradio
2022-10-19 20:42:59+00:00,1582834718583640067,"✅ Raków Częstochowa
✅ Legia Warszawa
✅ Piast Gliwice
✅ Górnik Łęczna

4 zespoły, które w 4 kolejnych edycjach #PucharPolski awansowały co najmniej do 1/8 finału.

3 drużyny ekstraklasy i rodzynek z I ligi. 🍇",PawelBalcerek
2022-10-19 20:40:26+00:00,1582834077287469056,@Agiewillow @WTP_Warszawa Sławomir Mecen lubi to,kamilakazar
2022-10-19 20:40:24+00:00,1582834069494464518,"@honimseo Same, Warszawa jest piękna",rosesautumn19
2022-10-19 20:39:53+00:00,1582833938120159233,"@BandytaZKamerka Warszawa Tarchomin. Ul. Milenijna, przystanek Ceramiczna 01",tmszcpk3
2022-10-19 20:39:01+00:00,1582833719445856256,"@cezarygmyz BUDYNEK MARKA FALENTY UL.FRANCESCO NULLO 2 , TAM BYŁY FIRMY ICON , RADIUS , REPRYWATYZACJA WARSZAWSKA , ON NIE TYLKO WĘGLEM HANDLOWAŁ , ALE TEZ WARSZAWA MIN . POZNAŃSKA 37 I INNE ZGODĘ NA SPRZEDAŻ PODPISYWAŁ G .SCHETYNA , A DALEJ PODPISYWAŁ BUFETOWA W RATUSZU",zbigniew_woldan
2022-10-19 20:38:09+00:00,1582833505267961856,"@RadwanAnia @fyderek Aniu, mi chodzi o to, że trudno znaleźć w PL dyskursie kogoś, kto widząc odpowiedzialność PiS za demolkę, próbuje rozumieć spór na linii Warszawa-Bruksela w szerszy kontekscie. Robię to od lat i czuję się osamotniony (no może prof. Cichocki jest drugi). Stąd doceniam głos Wosia.",KedzierskiMarc
2022-10-19 20:37:47+00:00,1582833410187198464,"@ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze Ekstremalnie to jeździł ten, co wpakował się pod BMW na Modlińskiej, nagrodę Darwina powinien dostać.",0x00DEAD00
2022-10-19 20:35:07+00:00,1582832739408957442,"@BurzynskaAga Ale PDT powiedział, że niczego się nie boi. W swoim wystawieniu wczoraj - gdzieś skłamał? Czy import węgla z Rosji wzrósł za pisu? Komisja śledcza. I zobaczymy.",Pawel_Warszawa
2022-10-19 20:34:41+00:00,1582832630562979840,"@airacobr @ddzwiedziu @jarek_osowski @_zboral @warszawa Ale my w miescie nie jezdzimy 50. 50 jedziemy przez te kilka sekund ktore dla wielu jest niezrozumialym celem, reszte zwalniasz, stoisz, przyspieszasz, walczysz, bo nie jestes pizda, scierasz klocki itd. Plynna jazda pali mi zawsze mniej niz walka o jak najwieksza predkosc",Maciej_DiMarzio
2022-10-19 20:33:05+00:00,1582832229004169216,Ostrzegam przed inwestowaniem z pracownią finansową Warszawa.bardzo nieuczciwą firma,gajewski_awomir
2022-10-19 20:32:54+00:00,1582832182783258624,@ljporebski @ZDM_Warszawa @marta_ewa_sz @MiastoJestNasze A może najpierw nauczy się Pan jeździć rowerem jeśli widzi Pan gdzieś problem na tym filmiku? Swoją drogą jazda chodnikiem między pieszymi 👎👮 Wstyd.,BSokalszczuk
2022-10-19 20:31:31+00:00,1582831833045401601,@MilaVan1 @jarek_osowski @warszawa Pieszo tez mozna i czlowiek sie dotleni.,Italonda
